,job_link
942,https://www.brigada.sk/brigady-na-slovensku/nocne-dokladanie-tovaru-kolonial-studentsky-servis-spol-s-r-o-370279
943,https://www.brigada.sk/brigady-na-slovensku/nocne-dokladanie-tovaru-kolonial-studentsky-servis-spol-s-r-o-370278
944,https://www.brigada.sk/brigady-na-slovensku/nocne-dokladanie-tovaru-kolonial-studentsky-servis-spol-s-r-o-370277
945,https://www.brigada.sk/brigady-na-slovensku/dokladanie-tovaru-do-regalov-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370311
946,https://www.brigada.sk/brigady-na-slovensku/lahodky-ich-dokladanie-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370310
947,https://www.brigada.sk/brigady-na-slovensku/pokladnik-pokladnicka-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370309
948,https://www.brigada.sk/brigady-na-slovensku/pokladnik-pokladnicka-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370308
949,https://www.brigada.sk/brigady-na-slovensku/pokladnik-pokladnicka-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370307
950,https://www.brigada.sk/brigady-na-slovensku/lahodky-ich-dokladanie-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370306
951,https://www.brigada.sk/brigady-na-slovensku/zavoznik-pri-rozvoze-elektrospotrebicov-p-j-servis-holding-s-r-o-370305
952,https://www.brigada.sk/brigady-na-slovensku/lahodky-ich-dokladanie-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370304
953,https://www.brigada.sk/brigady-na-slovensku/pokladnik-pokladnicka-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370303
954,https://www.brigada.sk/brigady-na-slovensku/pokladnik-pokladnicka-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370302
955,https://www.brigada.sk/brigady-na-slovensku/lahodky-ich-dokladanie-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370301
956,https://www.brigada.sk/brigady-na-slovensku/pokladnik-pokladnicka-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370300
957,https://www.brigada.sk/brigady-na-slovensku/pokladnik-pokladnicka-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370299
958,https://www.brigada.sk/brigady-na-slovensku/zavoznik-pri-rozvoze-elektrospotrebicov-p-j-servis-holding-s-r-o-370298
959,https://www.brigada.sk/brigady-na-slovensku/pokladnik-pokladnicka-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370297
960,https://www.brigada.sk/brigady-na-slovensku/nocne-dokladanie-tovaru-kolonial-studentsky-servis-spol-s-r-o-370276
961,https://www.brigada.sk/brigady-na-slovensku/nocne-dokladanie-tovaru-kolonial-studentsky-servis-spol-s-r-o-370275
962,https://www.brigada.sk/brigady-na-slovensku/dokladanie-tovaru-do-regalov-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370274
